nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,harga_tiket,link,latitude,longitude,link_gambar
Kolam renang pancar,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.2,58,15000,https://www.google.com/maps/place/Kolam+renang+pancar/data=!4m7!3m6!1s0x2e69b9519c5cc30f:0x64b7af8e11700f3e!8m2!3d-6.574515!4d106.9129858!16s%2Fg%2F11srgx9xwg!19sChIJD8NcnFG5aS4RPg9wEY6vt2Q?authuser=0&hl=id&rclk=1,-6.574515,106.9129858,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSytd3rIEE1CGybjvRRepaeJV8h0AsGIbATHR2bLKBt5J8wlHm1VgEwqnw424YtTboCrtibhbQIFFPk6bIteJz7Gssl8Q648waEDgJI3qkDykDxdjhgcejG3-VneMw_LaoBKEyTH=w1200-h800
Wisata Edukasi TK SD di Bogor,Budaya,Wisata Budaya & Edukasi,Babakan Madang,Kabupaten Bogor,4.9,1615,50000,https://www.google.com/maps/place/Wisata+Edukasi+TK+SD+di+Bogor/data=!4m7!3m6!1s0x2e69c6eb1a26803b:0xf7a84ee1b7a1f68b!8m2!3d-6.5757239!4d106.8403557!16s%2Fg%2F11bymykydq!19sChIJO4AmGuvGaS4Ri_aht-FOqPc?authuser=0&hl=id&rclk=1,-6.5757239,106.8403557,https://lh3.googleusercontent.com/p/AF1QipP9OlKkUehCybvCvdocQzKWfqmj-H5TVeSdoEqD=w1200-h800
Curug Cibaliung Jonggol,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,749,20000,https://www.google.com/maps/place/Curug+Cibaliung+Jonggol/data=!4m7!3m6!1s0x2e69b94322f96831:0x48527ed203b300f5!8m2!3d-6.5995973!4d106.9585682!16s%2Fg%2F11hntppw70!19sChIJMWj5IkO5aS4R9QCzA9J-Ukg?authuser=0&hl=id&rclk=1,-6.5995973,106.9585682,https://lh3.googleusercontent.com/p/AF1QipOvrJ0QEJ7kBkNu6S_SdNGcmTCOiNs_LWlgb3PM=w1200-h800
Gunung Pancar Tour Wisata Hot Spring Water,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.6,506,15000,https://www.google.com/maps/place/Gunung+Pancar+Tour+Wisata+Hot+Spring+Water/data=!4m7!3m6!1s0x2e69b87f6d95e303:0x157f3ab64484c1c6!8m2!3d-6.5808538!4d106.9046265!16s%2Fg%2F1pzqrsk_l!19sChIJA-OVbX-4aS4RxsGERLY6fxU?authuser=0&hl=id&rclk=1,-6.5808538,106.9046265,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7rdYDybyZiSE4qdMZTVkItUIfcvoPHWTbZH1xPGVV-uFicPsOUEYcVQWa9fx8TGT-Ae1qvGVLoR5_QdAxqHc1t0ZycaPE_hAS6c6NBoufhmVWucavvKh6pqZ9Bv0Kj6lN1VoY=w1200-h800
Wisata Bukit Domba,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,476,35000,https://www.google.com/maps/place/Wisata+Bukit+Domba/data=!4m7!3m6!1s0x2e69c9004a61e28f:0xcb6829b09c739e1d!8m2!3d-6.6248368!4d106.9063456!16s%2Fg%2F11y66960h1!19sChIJj-JhSgDJaS4RHZ5znLApaMs?authuser=0&hl=id&rclk=1,-6.6248368,106.9063456,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz0lrxue9Qo3CNUVpLJcvEqwtdMq-BipQK5w1Oo0-Uzs3bREYufkGe955hkInNQ_z5yyBAVREsgl9Offm7V-Oel-voan3yHvayeT8JP7Az2OG9Ov5PoqWbuG0xg14wVpNEgKxnSvA=w1200-h800
Curug Cigede,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4,81,0,https://www.google.com/maps/place/Curug+Cigede/data=!4m7!3m6!1s0x2e69c11e4dd6b08b:0x71580eccce8b9fe9!8m2!3d-6.520396!4d106.8629844!16s%2Fg%2F11gc9xqj23!19sChIJi7DWTR7BaS4R6Z-LzswOWHE?authuser=0&hl=id&rclk=1,-6.520396,106.8629844,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqA2vW1-wPQ2hsHeTw6nHcELXJvsQda-s65qmN-2NHE5Kq6RcM1OeciTlMsODEjO4CHzKRtxQylRFbym37akXYmlhYw_FYCd9hGTVVpjc0L27MQpGuFDsA9DDaIxUUAMz5TI7h=w1200-h800
Curug kanyere,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,106,15000,https://www.google.com/maps/place/Curug+kanyere/data=!4m7!3m6!1s0x2e69c75ef85387fb:0xd554c7bd1573ed15!8m2!3d-6.6201226!4d106.9097177!16s%2Fg%2F11rfscphh7!19sChIJ-4dT-F7HaS4RFe1zFb3HVNU?authuser=0&hl=id&rclk=1,-6.6201226,106.9097177,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyFfjdUsDJe5WtXRFQkQhrqQBLXCRKK90tc4_iqGvxsSfWcSNvfJeJ9M5az5Rytq4pIKQHNIvCsYd7A-eRRSHnCvzz0Zow_MJrqN1KD61PHi8TnB0GXqxJmNa4my58-bq7KoU_w-g=w1200-h800
Hutan Hujan Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.7,344,30000,https://www.google.com/maps/place/Hutan+Hujan+Sentul/data=!4m7!3m6!1s0x2e69b99106288ee3:0xa1a1a08723a58c1a!8m2!3d-6.5792586!4d106.9277932!16s%2Fg%2F11rc46fdmy!19sChIJ444oBpG5aS4RGoylI4egoaE?authuser=0&hl=id&rclk=1,-6.5792586,106.9277932,https://lh3.googleusercontent.com/p/AF1QipPOHMN2IFgaLqtNup0g_RyJw1AgdjGU3jbZxg7D=w1200-h800
Guide Trekking Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,5,170,175000,https://www.google.com/maps/place/Guide+Trekking+Sentul/data=!4m7!3m6!1s0x2e69b9ef42651717:0x1150d572651eef29!8m2!3d-6.5750923!4d106.8923905!16s%2Fg%2F11lc864x8g!19sChIJFxdlQu-5aS4RKe8eZXLVUBE?authuser=0&hl=id&rclk=1,-6.5750923,106.8923905,
pemandian air panas,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,78,32500,https://www.google.com/maps/place/pemandian+air+panas/data=!4m7!3m6!1s0x2e69b97b26c2341d:0x6678d85baf2e43f3!8m2!3d-6.582021!4d106.924129!16s%2Fg%2F11fwxcr9d5!19sChIJHTTCJnu5aS4R80Mur1vYeGY?authuser=0&hl=id&rclk=1,-6.582021,106.924129,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx8MxGbtKGtgShPKD6yzrI6zCqD6xdlWY8wg_qu1pSt4cQDCCRWgEGTQIhB7Hs_K2NstLSBWBwqX8EAGEficGkHKfWNDbAHLL2tw3LSEh0LNiHSz8srCfviDwVmloJ74zizLW3M=w1200-h800
sentul eco edu tourism forest,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,318,0,https://www.google.com/maps/place/sentul+eco+edu+tourism+forest/data=!4m7!3m6!1s0x2e69b94cb04ae973:0xf5158b999cd05369!8m2!3d-6.5724577!4d106.9129037!16s%2Fg%2F11fmpxsyt4!19sChIJc-lKsEy5aS4RaVPQnJmLFfU?authuser=0&hl=id&rclk=1,-6.5724577,106.9129037,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxxMpER3mdzl11OKpY1Z0um4PefllJ9ok7m-j7HXTjH0nFdFUbsLodV01i0plkhT6-OLRkkuXPXbCgD-KzwlwTGlR8xGYEEppQnqxmMDte-0fw0bwGKLBZMVspMPLVadwlt9p0elw=w1200-h800
Bukit Cinta Bogor,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,602,75000,https://www.google.com/maps/place/Bukit+Cinta+Bogor/data=!4m7!3m6!1s0x2e69b8e4bc12e9ab:0x195127c48ee3864!8m2!3d-6.5705191!4d106.952548!16s%2Fg%2F11fxvcbbr8!19sChIJq-kSvOS4aS4RZDjuSHwSlQE?authuser=0&hl=id&rclk=1,-6.5705191,106.952548,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwuetQlgYOhTyNXfRt7sAK1TfBGbRwnYxhmlRps2YEC-3MG0hpGA8husXUinPZ4Zd0Tlln1Iabwhphx_ruJUwEF2tULTuyTMo2ESERghbMmIUDHpEGszGIQzhmEZJMbARDLDru_NA=w1200-h800
"Trekking Sentul - Private Camping, Hiking & Trekking Bogor",Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.8,329,15000,"https://www.google.com/maps/place/Trekking+Sentul+-+Private+Camping,+Hiking+%26+Trekking+Bogor/data=!4m7!3m6!1s0x2e69c7d027c409f7:0x98394f37ea70c074!8m2!3d-6.5749253!4d106.8925279!16s%2Fg%2F11hyt6tqpd!19sChIJ9wnEJ9DHaS4RdMBw6jdPOZg?authuser=0&hl=id&rclk=1",-6.5749253,106.8925279,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZufUntwULJ4WfmL-8E5SPG9LsY_7aolgrJwnesZW8t07wDXZ2fs1ipdG35Wd3pPhn_oSIteM85nJ8PN1wGxkZjoh_5MI2ezv3Fah9WnhlXdD75xINHjU0cUQ3LGMt3h3r_b8g_Q=w1200-h800
Sentul Paradise Park,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.4,902,40000,https://www.google.com/maps/place/Sentul+Paradise+Park/data=!4m7!3m6!1s0x2e69c7f6aaaaaaab:0x4f13a90f01e69731!8m2!3d-6.6142565!4d106.9085544!16s%2Fg%2F12qgwv_8h!19sChIJq6qqqvbHaS4RMZfmAQ-pE08?authuser=0&hl=id&rclk=1,-6.6142565,106.9085544,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyU22hJTWM1WXG34wpxqSTq9EL4cqehbqyg9bMV7-fJJgYCf48P1eJIdsjKewDtcnojb_yEyWqQa9bJfrXKfoh-CUJ_XM-t12tOUAQ6eiCMJ48XyH88odBHhlmlqciGzO_WbVY-=w1200-h800
Treking sentull,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,10306,45000,https://www.google.com/maps/place/Treking+sentull/data=!4m7!3m6!1s0x2e69b8538fd00129:0xfa8b547834f0ac2c!8m2!3d-6.5893251!4d106.9546789!16s%2Fg%2F11cm02mrhj!19sChIJKQHQj1O4aS4RLKzwNHhUi_o?authuser=0&hl=id&rclk=1,-6.5893251,106.9546789,https://lh3.googleusercontent.com/p/AF1QipPXOJXzbNRY9Ky08xi8-F1jr2hMoOT4HHJOx22d=w1200-h800
Leuwi Pangaduan,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.4,1426,25000,https://www.google.com/maps/place/Leuwi+Pangaduan/data=!4m7!3m6!1s0x2e69c78b969cad9f:0x47d33c093aa63764!8m2!3d-6.6007184!4d106.9061239!16s%2Fg%2F11j6zh6h6p!19sChIJn62clovHaS4RZDemOgk800c?authuser=0&hl=id&rclk=1,-6.6007184,106.9061239,https://lh3.googleusercontent.com/p/AF1QipPPnz9MxAHBv-SvX_rPr3BRsNkteM5hDFk9Efq0=w1200-h800
Curug Cinta Putri Kencana,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,314,32500,https://www.google.com/maps/place/Curug+Cinta+Putri+Kencana/data=!4m7!3m6!1s0x2e69b838fc4ad18f:0xe86fe16504b7013a!8m2!3d-6.6078603!4d106.943515!16s%2Fg%2F11c1pqtqx8!19sChIJj9FK_Di4aS4ROgG3BGXhb-g?authuser=0&hl=id&rclk=1,-6.6078603,106.943515,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynYEkrrqkjt64quxWO-totteiSpNI0MtcyYrFiACCL4UAGo7-jygruufnlWS5Ux03TSXYOfiTrIm3N-kakmJm6Nk8JWyTM04-O_Kh5VxmRjVwvpP9jE_UqkgLwIu98EXExBiSE=w1200-h800
ECOART PARK Sentul City,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,11796,0,https://www.google.com/maps/place/ECOART+PARK+Sentul+City/data=!4m7!3m6!1s0x2e69c6ebc0f289c5:0xf894747033caad39!8m2!3d-6.5687222!4d106.8457512!16s%2Fg%2F11b6x9_n9z!19sChIJxYnywOvGaS4ROa3KM3B0lPg?authuser=0&hl=id&rclk=1,-6.5687222,106.8457512,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzQ63qjjoYG4e8I_ySV-7sqrflpXdSz1zCcXdukUwM36qL8TljmZ6I9EHc_YrMxkQgZlR3fWmaMF4Gn3ebFqqZw53itQD3RtPEI9DRcA9OOPWA04ESQX-MF1b362wUBtwyRsjKJqQ=w1200-h800
Villa Bukit Hambalang,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.4,2971,165000,https://www.google.com/maps/place/Villa+Bukit+Hambalang/data=!4m7!3m6!1s0x2e69c0b43f5f00ff:0x36dc112457c58c73!8m2!3d-6.5388548!4d106.8927727!16s%2Fg%2F11b6srf74x!19sChIJ_wBfP7TAaS4Rc4zFVyQR3DY?authuser=0&hl=id&rclk=1,-6.5388548,106.8927727,https://lh3.googleusercontent.com/p/AF1QipOlr-4AzCrXXHOGF2WnZrmJTYOr84cAcvfTi4OS=w1200-h800
Curug Leuwi Asih,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,421,20000,https://www.google.com/maps/place/Curug+Leuwi+Asih/data=!4m7!3m6!1s0x2e69b9471d753e91:0x43b13f3c1518860d!8m2!3d-6.5883126!4d106.9287126!16s%2Fg%2F11h4mnsqbm!19sChIJkT51HUe5aS4RDYYYFTw_sUM?authuser=0&hl=id&rclk=1,-6.5883126,106.9287126,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxq7sn9DftW-QFw0VN0x1fmUC0hbzvVRISH8aoSELYrWai4BLsBKc-tgoAV291L2hOXOhNFQbDGxnrQnMTMLK5zm_2kCw1Voeqffl8PUtJCKpx8FOUSBgKeAJ2CzJFPn_eex7jw=w1200-h800
WISATA CADAS NGAMPAR,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,221,5000,https://www.google.com/maps/place/WISATA+CADAS+NGAMPAR/data=!4m7!3m6!1s0x2e69b998113cce13:0xfdd5cd761adea061!8m2!3d-6.5864923!4d106.9653756!16s%2Fg%2F11hg26kp9c!19sChIJE848EZi5aS4RYaDeGnbN1f0?authuser=0&hl=id&rclk=1,-6.5864923,106.9653756,
Curug Anggraeni,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,78,10000,https://www.google.com/maps/place/Curug+Anggraeni/data=!4m7!3m6!1s0x2e69c7c7fac1b1b5:0x831f22cd9cea9d57!8m2!3d-6.5710359!4d106.9097279!16s%2Fg%2F11kg9p09md!19sChIJtbHB-sfHaS4RV53qnM0iH4M?authuser=0&hl=id&rclk=1,-6.5710359,106.9097279,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKu6dNsTMXPUngudo9mSFrSgHtb-p-tr6qKJuPx-jXdpCle4nwEJChFFgvduGE9xkvd7oBUgDEG86v6V_UFbqYkxxaxSQYPSmybum3ZG3RVeRzF6J4eCEgnWrMBmq9028x3U3Q=w1200-h800
Trekking Sentul | Private Guide Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.8,732,15000,https://www.google.com/maps/place/Trekking+Sentul+%7C+Private+Guide+Sentul/data=!4m7!3m6!1s0x2e69b9d60c0f41d9:0x28b46af343e509d9!8m2!3d-6.5890851!4d106.9155011!16s%2Fg%2F11lh4wzvkd!19sChIJ2UEPDNa5aS4R2QnlQ_NqtCg?authuser=0&hl=id&rclk=1,-6.5890851,106.9155011,https://lh3.googleusercontent.com/p/AF1QipNm0tnG285kBMfefld6ynPyHt86mzmOykrnanm-=w1200-h800
Next Level Adventures (NLA),Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,256,200000,https://www.google.com/maps/place/Next+Level+Adventures+%28NLA%29/data=!4m7!3m6!1s0x2e69c725e00956f1:0xedab3d779a8c8a67!8m2!3d-6.5770793!4d106.8905171!16s%2Fg%2F11py7lgqn6!19sChIJ8VYJ4CXHaS4RZ4qMmnc9q-0?authuser=0&hl=id&rclk=1,-6.5770793,106.8905171,https://lh3.googleusercontent.com/p/AF1QipMZAw-Hhea9YLIDPDeRNIBtrrAbk-rycVtLLfQi=w1200-h800
Leuwi areuy,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,96,15000,https://www.google.com/maps/place/Leuwi+areuy/data=!4m7!3m6!1s0x2e69b948e3399ef7:0x77ac5a3525b92389!8m2!3d-6.6067934!4d106.9134146!16s%2Fg%2F11tnb_1t9z!19sChIJ954540i5aS4RiSO5JTVarHc?authuser=0&hl=id&rclk=1,-6.6067934,106.9134146,https://lh3.googleusercontent.com/p/AF1QipN9ESLqU-D-Hu7QgqnXPFXvmcSh3YiCq9lO5zqe=w1200-h800
Tugu Pancakarsa Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,442,0,https://www.google.com/maps/place/Tugu+Pancakarsa+Sentul/data=!4m7!3m6!1s0x2e69c102371add19:0x712444476b1821dc!8m2!3d-6.5325362!4d106.8533392!16s%2Fg%2F11smfy4mgb!19sChIJGd0aNwLBaS4R3CEYa0dEJHE?authuser=0&hl=id&rclk=1,-6.5325362,106.8533392,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBaRDbJU-zyIoO8V65lcskP6OI2pHIXbsOfyBkb5Qdqt_-LSpQj1jZEXdw-EWXxva-SaVc6FuZVhJuThLoPRLBbVQSVKNuAMZrYfFis3gk6QjByLr0egJ5uMS91JihucXsYXc7KA=w1200-h800
Taman Sampora Legok,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,503,0,https://www.google.com/maps/place/Taman+Sampora+Legok/data=!4m7!3m6!1s0x2e69c168b1d82677:0x9271060ec3a74dbc!8m2!3d-6.5000947!4d106.8504357!16s%2Fg%2F11lgjn3wwj!19sChIJdybYsWjBaS4RvE2nww4GcZI?authuser=0&hl=id&rclk=1,-6.5000947,106.8504357,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwO-flpsm-JiEW_MRNUY1KZkxlgVqUwh6zbIPm3DSAbRVzlGd4AR0I0IPgzash7ZQIe6IvR6kXMXLgCk_ZrIeQA4SLalpIZ043NaaGYlPtbUSvaqbgW48M5KOvgTimgxdMQqI-MqQ=w1200-h800
Curug Mekar (Batas Jonggol-Sentul),Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,123,15000,https://www.google.com/maps/place/Curug+Mekar+%28Batas+Jonggol-Sentul%29/data=!4m7!3m6!1s0x2e69b9de8eddfd5f:0xb29b8b23ae5f4817!8m2!3d-6.5919944!4d106.9448831!16s%2Fg%2F11lgjjdmg6!19sChIJX_3djt65aS4RF0hfriOLm7I?authuser=0&hl=id&rclk=1,-6.5919944,106.9448831,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZiJE7_Krhn7deYaAOLcjeGw6-p5xi_vpOsx-g0PE483225AD4de4_gxyiSPVemOmP14fRxngeYuVUYcP7bw7w2uwFiGorefyW2PR5K40LWPEmGaf7pJjU4vjmiZeTAOydk-y3=w1200-h800
Gunung pancar batu garenggong,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.2,3552,50000,https://www.google.com/maps/place/Gunung+pancar+batu+garenggong/data=!4m7!3m6!1s0x2e69c7f5726e7fad:0xabeced42d4db9407!8m2!3d-6.5808732!4d106.9050282!16s%2Fg%2F11c3k55cs1!19sChIJrX9ucvXHaS4RB5Tb1ELt7Ks?authuser=0&hl=id&rclk=1,-6.5808732,106.9050282,
Curug Bidadari Sentul Paradise Bogor,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.6,4603,30000,https://www.google.com/maps/place/Curug+Bidadari+Sentul+Paradise+Bogor/data=!4m7!3m6!1s0x2e69c12165130ec3:0xd6aa07e3c1d4c5e8!8m2!3d-6.6140213!4d106.9084002!16s%2Fg%2F11cs5nytgd!19sChIJww4TZSHBaS4R6MXUweMHqtY?authuser=0&hl=id&rclk=1,-6.6140213,106.9084002,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyXOv224b0BTdnkuotocnQtwP49WTO3QbKOl2PPCy344iTsHCdxCrd-bde1wMwh5jcNKjV65Gqo3QKLJyu91yCHOrPMf-7XWQatTNbwsBsYtim_FCNpLGjbr6YV1kFxMwnJEDjd=w1200-h800
Teras Wangun,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.5,468,50000,https://www.google.com/maps/place/Teras+Wangun/data=!4m7!3m6!1s0x2e69b97e9fd5ef99:0x6dccc20796649ae2!8m2!3d-6.5899656!4d106.9297808!16s%2Fg%2F11g0j9sv8b!19sChIJme_Vn365aS4R4ppklgfCzG0?authuser=0&hl=id&rclk=1,-6.5899656,106.9297808,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCxplHx2Ul7daAnRsq1AglMoAq5CBWvAa9su3DfthMphKoKvlRsUj_Ms8iZZRM7HD-DJJJ0uB93s81193qdAzo2qy7LCQmt5u6w1rK5SXW3LvzZlxptKrhw8qYHsNPPa37GvtJ=w1200-h800
Ah Poong Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,9445,10000,https://www.google.com/maps/place/Ah+Poong+Sentul/data=!4m7!3m6!1s0x2e69c6ec0ebe7b61:0x2bcec953608237d!8m2!3d-6.5703523!4d106.8460526!16s%2Fg%2F11fxx4p67c!19sChIJYXu-DuzGaS4RfSMINpXsvAI?authuser=0&hl=id&rclk=1,-6.5703523,106.8460526,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyIX8Ca4NsnVAVOxjm1UYDbcIvksvsWG3X_s-awr5XQs978I28SPAqsl7ZY3el9X35H7SJvXePdyJTb-xwQDllzEg3PdE5M_lOVZm21G9MLLB5iWWTLCnuwtQLdXBNh6tDCroVv=w1200-h800
KM 0 Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,1448,0,https://www.google.com/maps/place/KM+0+Sentul/data=!4m7!3m6!1s0x2e69c7c77ef5d28b:0xff255ccc323e7103!8m2!3d-6.6191938!4d106.9014081!16s%2Fg%2F11kcjl3cv8!19sChIJi9L1fsfHaS4RA3E-MsxcJf8?authuser=0&hl=id&rclk=1,-6.6191938,106.9014081,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxq2cCnwXiJXcDjH0NivRP65edYljQwKTUXrGA07XR1Zxn6ruCUDhJ9Vjdhyo8jMFE3tFNGn6u6TS55DdQL68lvI09ZuXsKA5QJ_Kb9zlReiLaN3osXpPByivm_q809vGe-k6rS8w=w1200-h800
Bigstone Riverside,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,107,15000,https://www.google.com/maps/place/Bigstone+Riverside/data=!4m7!3m6!1s0x2e69b920f0e38921:0xee7b19503e11474e!8m2!3d-6.5854989!4d106.9536601!16s%2Fg%2F11v030z5wr!19sChIJIYnj8CC5aS4RTkcRPlAZe-4?authuser=0&hl=id&rclk=1,-6.5854989,106.9536601,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxD80uF6fG24BuGjMkfVpX7DjS6VMtxikEq9cWf6fIeM9lXamIoYs5lq5FTDM6Yptec0z7dM3GmHqzg6tHZ5nShzlRDfihH5bxvffAQmpX6XdUZ-ky--NviEJVRNI6oL3lG_5M0DjrchpG1=w1200-h800
Taman Hutan Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,58,75000,https://www.google.com/maps/place/Taman+Hutan+Sentul/data=!4m7!3m6!1s0x2e69b883f8d3fdc7:0xfd03589b8d05e548!8m2!3d-6.5720218!4d106.9129724!16s%2Fg%2F11fzy_4_lv!19sChIJx_3T-IO4aS4RSOUFjZtYA_0?authuser=0&hl=id&rclk=1,-6.5720218,106.9129724,https://lh3.googleusercontent.com/p/AF1QipP4JQBwbTzcsTBQLSfCrIv24a9TY1fAy8qyc6Ou=w1200-h800
Paintball Sentul,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.9,430,150000,https://www.google.com/maps/place/Paintball+Sentul/data=!4m7!3m6!1s0x2e69c7028dcfa381:0xc7aa2300e88e8856!8m2!3d-6.5715195!4d106.8592497!16s%2Fg%2F11bwfmgcpq!19sChIJgaPPjQLHaS4RVoiO6AAjqsc?authuser=0&hl=id&rclk=1,-6.5715195,106.8592497,
Sentul Nirwana,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,2469,0,https://www.google.com/maps/place/Sentul+Nirwana/data=!4m7!3m6!1s0x2e69c775a9782cc9:0x77781998ad062007!8m2!3d-6.5815736!4d106.892206!16s%2Fg%2F11g8vqmdlj!19sChIJySx4qXXHaS4RByAGrZgZeHc?authuser=0&hl=id&rclk=1,-6.5815736,106.892206,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw2iB8vKSH2zBa1kA5TsgncUkH2gqMPAYE8DnYGIeyuSs1uYMxSGZEJbOHY-0sD_fXzUQIIV5tAIMZUXjq0z2Ae0lSVN5seKfoRzzPFR1s2f0ve2Sjb7g4jmIqX19elZD8-H1-q9w=w1200-h800
Curug Putri Kencana,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,1745,25000,https://www.google.com/maps/place/Curug+Putri+Kencana/data=!4m7!3m6!1s0x2e69b869f7bedbd7:0xf83e4aee23eb911b!8m2!3d-6.5977311!4d106.9350111!16s%2Fg%2F11cs01tk_c!19sChIJ19u-92m4aS4RG5HrI-5KPvg?authuser=0&hl=id&rclk=1,-6.5977311,106.9350111,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzxzBhTh3atHoAlU1DKcH_gfFYAu-ESRRJpR2T0xpPKUrNQ82A_jFF0F3YBW9gSU7zJqJp5pPg2TginKSFNNuT1sTeUP9xOazbq-jjuD2SJiyVahlwHYGIB53DAMBVFcttFsek=w1200-h800
"Curug Leuwi Hejo, Jonggol",Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,170,35000,"https://www.google.com/maps/place/Curug+Leuwi+Hejo,+Jonggol/data=!4m7!3m6!1s0x2e69b900483cb9cd:0xc81c6990e6c510e9!8m2!3d-6.5856791!4d106.9552058!16s%2Fg%2F11rkbxj6z3!19sChIJzbk8SAC5aS4R6RDF5pBpHMg?authuser=0&hl=id&rclk=1",-6.5856791,106.9552058,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxp0I5JT_e3oFaz8aTtcjNoXtBZjxSBsDCDhG9BuBNFj03e_ifw2uKKa2095TDnf_eZAR2-Lh4hWaL885V8N8ZMZ8bRAs69bRmUmV2wkU-IbuDfD5IyxIHyUVJ59OgbVXjMawSOUsDp7WzX=w1200-h800
Goa Garunggang - Puncak Dua,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,769,20000,https://www.google.com/maps/place/Goa+Garunggang+-+Puncak+Dua/data=!4m7!3m6!1s0x2e69b8f2b423c98f:0xdbb608bf20de3406!8m2!3d-6.57315!4d106.936201!16s%2Fg%2F11c6lp4wrz!19sChIJj8kjtPK4aS4RBjTeIL8Itts?authuser=0&hl=id&rclk=1,-6.57315,106.936201,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwkel-mPB_spgHnfcV-Zj_ziZu8R02jA4z7zvx-3UDOzDqYLW70ObJ_7OV6R4WUgVc2KTyPen37yxxb2GoDMxmu-ruyZ_mmDF5vbwYJQsXorUwSsHN6cbB3R1kZg_iG5Xbmz56H=w1200-h800
